question,answer1,answer2,answer3,answer4,correctAnswer,feedback,score,subject
What is the capital of France?,Berlin,London,Paris,Madrid,Paris,Correct! Paris is the capital of France.,20,Geography
Who wrote "Romeo and Juliet"?,Charles Dickens,William Shakespeare,Mark Twain,J.K. Rowling,William Shakespeare,Correct! "Romeo and Juliet" was written by William Shakespeare.,15,Literature
What is the largest mammal on Earth?,Elephant,Blue Whale,Giraffe,Gorilla,Blue Whale,Great job! The Blue Whale is the largest mammal on Earth.,25,Science
Which planet is known as the Red Planet?,Venus,Earth,Mars,Jupiter,Mars,Well done! Mars is often called the Red Planet.,18,Astronomy
What is the powerhouse of the cell?,Nucleus,Mitochondria,Ribosome,Cytoplasm,Mitochondria,Correct! The powerhouse of the cell is the mitochondria.,22,Biology
Who painted the Mona Lisa?,Pablo Picasso,Vincent van Gogh,Leonardo da Vinci,Claude Monet,Leonardo da Vinci,Excellent! The Mona Lisa was painted by Leonardo da Vinci.,30,Art
What is the square root of 64?,4,6,8,10,8,That's right! The square root of 64 is 8.,12,Mathematics
Which ocean is the largest?,Indian Ocean,Atlantic Ocean,Southern Ocean,Arctic Ocean,Pacific Ocean,Amazing! The Pacific Ocean is the largest ocean on Earth.,28,Geography
What is the capital of Japan?,Seoul,Beijing,Tokyo,Bangkok,Tokyo,Correct! Tokyo is the capital of Japan.,22,Geography
Who is known as the "Father of Computer Science"?,Bill Gates,Alan Turing,Steve Jobs,Ada Lovelace,Alan Turing,Great choice! Alan Turing is considered the Father of Computer Science.,25,Technology
What is the largest desert in the world?,Gobi Desert,Sahara Desert,Arabian Desert,Atacama Desert,Sahara Desert,Well done! The Sahara Desert is the largest desert on Earth.,18,Geography
Which gas is most abundant in Earth's atmosphere?,Carbon Dioxide(N2),Oxygen(O2),Nitrogen(N2),Methane(CH4),Nitrogen(N2),Fantastic! Nitrogen is the most abundant gas in Earth's atmosphere.,20,Science
Who wrote "To Kill a Mockingbird"?,George Orwell,Harper Lee,J.K. Rowling,Mark Twain,Harper Lee,Correct! "To Kill a Mockingbird" was written by Harper Lee.,15,Literature
What is the chemical symbol for gold?,Au,Ag,Hg,Fe,Au,Bravo! Au is the chemical symbol for gold.,28,Chemistry
In which year did Christopher Columbus first reach the Americas?,1492,1521,1607,1776,1492,Exactly! Christopher Columbus reached the Americas in the year 1492.,24,History
What is the smallest prime number?,1,2,3,5,2,Correct! 2 is the smallest prime number.,10,Mathematics
Who painted "Starry Night"?,Vincent van Gogh,Pablo Picasso,Claude Monet,Leonardo da Vinci,Vincent van Gogh,Great job! "Starry Night" was painted by Vincent van Gogh.,30,Art
What is the main ingredient in guacamole?,Tomato,Avocado,Onion,Lime,Avocado,Perfect! The main ingredient in guacamole is avocado.,26,Cuisine
What is the capital of France?,Madrid,London,Berlin,Paris,Paris,Correct! Paris is the capital of France.,22,Geography
Who wrote "Romeo and Juliet"?,Jane Austen,Charles Dickens,William Shakespeare,Mark Twain,William Shakespeare,Well done! "Romeo and Juliet" was written by William Shakespeare.,25,Literature
What is the largest planet in our solar system?,Venus,Earth,Jupiter,Mars,Jupiter,Exactly! Jupiter is the largest planet in our solar system.,18,Astronomy
Which country is known as the Land of the Rising Sun?,China,South Korea,Japan,Vietnam,Japan,Great choice! Japan is known as the Land of the Rising Sun.,20,Geography
What is the capital of Australia?,Sydney,Canberra,Melbourne,Brisbane,Canberra,Bravo! Canberra is the capital of Australia.,28,Geography
Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Nikola Tesla,Marie Curie,Alexander Graham Bell,Correct! Alexander Graham Bell invented the telephone.,15,Inventions
Which element has the chemical symbol "O"?,Osmium,Oxygen,Ozone,Octane,Oxygen,Perfect! Oxygen has the chemical symbol "O".,30,Chemistry
In which year did the Titanic sink?,1905,1912,1920,1931,1912,Exactly! The Titanic sank in the year 1912.,24,History
What is the square root of 64?,6,7,8,9,8,Correct! The square root of 64 is 8.,10,Mathematics
Who is known as the "Queen of Pop"?,Britney Spears,Whitney Houston,Madonna,Celine Dion,Madonna,Great job! Madonna is known as the Queen of Pop.,26,Music
Allo,1,2,3,4,4,Allo,15,Calculus
Allo,1,2,3,4,4,Allo,30,Calculus
Allo,1,2,3,4,4,Allo,5,Calculus